title,section,url
Bioinformatics for Evolutionary Biologists,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-67395-0.pdf
Lessons on Synthetic Bioarchitectures,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73123-0.pdf
Applied Bioinformatics,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-68301-0.pdf
"ENZYMES Catalysis, Kinetics and Mechanisms",Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-981-13-0785-0.pdf
"Plant Physiology, Development and Metabolism",Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-981-13-2023-1.pdf
Plant Anatomy,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-319-77315-5.pdf
Pharmaceutical Biotechnology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-030-00710-2.pdf
Food Fraud Prevention,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-9621-6.pdf
Plant Ecology,Biomedical and Life Sciences,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56233-8.pdf
Database Marketing,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72579-6.pdf
Microeconomics,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37434-0.pdf
Design Research in Information Systems,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-5653-8.pdf
Strategic International Management,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-8349-6331-4.pdf
International Trade Theory and Policy,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37314-5.pdf
Supply Chain Management and Advanced Planning,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-55309-7.pdf
Strategic International Management,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-658-07884-3.pdf
Search Methodologies,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-6940-7.pdf
Linear Programming,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-7630-6.pdf
Corporate Social Responsibility,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40975-2.pdf
Electronic Commerce,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-10091-3.pdf
Econometrics,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20059-5.pdf
Logistics,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-01769-3.pdf
New Introduction to Multiple Time Series Analysis,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-540-27752-1.pdf
Game Theory,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-662-46950-7.pdf
Physical Asset Management,Business and Economics,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14777-2.pdf
Linear and Nonlinear Programming,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-18842-3.pdf
Enterprise Risk Management Models,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-662-53785-5.pdf
Introduction to Electronic Commerce and Social Commerce,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50091-1.pdf
Business Process Management Cases,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58307-5.pdf
Social Media Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21990-5.pdf
Multinational Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23012-2.pdf
Leadership Today,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31036-7.pdf
Sustainable Supply Chains,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29791-0.pdf
Strategic Retail Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-658-10183-1.pdf
"Travel Marketing, Tourism Economics and the Airline Product",Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49849-2.pdf
Electronic Commerce 2018,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58715-8.pdf
Market Research,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-981-10-5218-7.pdf
Managing Sustainable Business,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-94-024-1144-7.pdf
Knowledge Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-59978-6.pdf
Customer Relationship Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-662-55381-7.pdf
Strategic Human Resource Management and Employment Relations,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-981-13-0399-9.pdf
Entertainment Science,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-89292-4.pdf
Analytical Corporate Finance,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-95762-3.pdf
A Concise Guide to Market Research,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56707-4.pdf
Global Supply Chain and Operations Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-94313-8.pdf
International Business Management,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-96622-9.pdf
Excel Data Analysis,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-030-01279-3.pdf
Digital Business Models,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-030-13005-3.pdf
Social Marketing in Action,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-030-13020-6.pdf
Essentials of Business Analytics,Business and Management,https://link.springer.com/content/pdf/10.1007%2F978-3-319-68837-4.pdf
Ceramic Materials,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-46271-4.pdf
Principles of Fluorescence Spectroscopy,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-46312-4.pdf
Composite Materials,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-74365-3.pdf
Transmission Electron Microscopy,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-76501-3.pdf
Sensory Evaluation of Food,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-6488-5.pdf
Engineering Flow and Heat Exchange,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4899-7454-9.pdf
Chemical Thermodynamics,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-19864-9.pdf
Electrochemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30250-3.pdf
Acid-Base Diagrams,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-37902-4.pdf
Brewing Science A Multidisciplinary Approach,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-46394-0.pdf
Principles of Polymer Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-2212-9.pdf
Nanotechnology Principles and Practices,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-09171-6.pdf
Structure Determination by X-ray Crystallography,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3954-7.pdf
Ceramic Materials,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3523-5.pdf
Foundations of Analytical Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-62872-1.pdf
Mass Spectrometry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-54398-7.pdf
Statistical Mechanics for Engineers,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13809-1.pdf
Magnetic Interactions in Molecules and Solids,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-22951-5.pdf
Polymer Synthesis Theory and Practice,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28980-4.pdf
Food Analysis Laboratory Manual,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44127-6.pdf
Electrochemical Impedance Spectroscopy and its Applications,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-8933-7.pdf
Group Theory Applied to Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6863-5.pdf
Food Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69934-7.pdf
Exam Survival Guide Physical Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49810-2.pdf
Food Analysis,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45776-5.pdf
Physical Chemistry from a Different Angle,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-15666-8.pdf
Essentials of Food Science,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-9138-5.pdf
Chemical and Bioprocess Engineering,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-9126-2.pdf
Applied Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-4262-2.pdf
Advanced Organic Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-44899-2.pdf
Advanced Organic Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-0-387-71481-3.pdf
Scanning Electron Microscopy and X-Ray Microanalysis,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-6676-9.pdf
Polymer Chemistry,Chemistry and Materials Science,https://link.springer.com/content/pdf/10.1007%2F978-3-662-49279-6.pdf
Introduction to Evolutionary Computing,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-662-44874-8.pdf
Data Structures and Algorithms with Python,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-13072-9.pdf
LaTeX in 24 Hours,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-47831-9.pdf
Automata and Computability,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4612-1844-9.pdf
The Algorithm Design Manual,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-84800-070-4.pdf
Principles of Data Mining,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-7307-6.pdf
Fundamentals of Business Process Management,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33143-5.pdf
UML @ Classroom,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-12742-2.pdf
Foundations for Designing User-Centered Systems,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-5134-0.pdf
Computer Vision,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-84882-935-0.pdf
Data Mining,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14142-8.pdf
Computational Geometry,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-540-77974-2.pdf
Cryptography Made Simple,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21936-3.pdf
Eye Tracking Methodology,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57883-5.pdf
The Data Science Design Manual,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55444-0.pdf
An Introduction to Machine Learning,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63913-0.pdf
Guide to Discrete Mathematics,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-44561-8.pdf
Modelling Computing Systems,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-84800-322-4.pdf
Understanding Cryptography,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-04101-3.pdf
Concise Guide to Software Engineering,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57750-0.pdf
Fundamentals of Multimedia,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-05290-8.pdf
The Python Workbook,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14240-1.pdf
Recommender Systems,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-29659-3.pdf
Python Programming Fundamentals,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-6642-9.pdf
"Object-Oriented Analysis, Design and Implementation",Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24280-4.pdf
Introduction to Data Science,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50017-1.pdf
Concise Guide to Databases,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-5601-7.pdf
Digital Image Processing,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4471-6684-9.pdf
Guide to Computer Network Security,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55606-2.pdf
Foundations of Programming Languages,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-70790-7.pdf
Probability and Statistics for Computer Science,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-64410-3.pdf
Guide to Competitive Programming,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-72547-5.pdf
Introduction to Artificial Intelligence,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-58487-4.pdf
Introduction to Deep Learning,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73004-2.pdf
"A Beginners Guide to Scala, Object Orientation and Functional Programming",Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-75771-1.pdf
Fundamentals of Business Process Management,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56509-4.pdf
Guide to Scientific Computing in C++,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-73132-2.pdf
Fundamentals of Java Programming,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-89491-1.pdf
Logical Foundations of Cyber-Physical Systems,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-63588-0.pdf
Introduction to Programming with Fortran,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-75502-1.pdf
Neural Networks and Deep Learning,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-94463-0.pdf
Data Science and Predictive Analytics,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-72347-1.pdf
Systems Programming in UnixLinux,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-92429-8.pdf
Introduction to Parallel Computing,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-98833-7.pdf
Analysis for Computer Scientists,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-91155-7.pdf
Introductory Computer Forensics,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-030-00581-8.pdf
Java in Two Semesters,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-99420-8.pdf
A Beginners Guide to Python 3 Programming,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-030-20290-3.pdf
Advanced Guide to Python 3 Programming,Computer Science,https://link.springer.com/content/pdf/10.1007%2F978-3-030-25943-3.pdf
Geomorphology of Desert Environments,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-5719-9.pdf
Irrigation and Drainage Engineering,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-05699-9.pdf
Climate Change Science A Modern Synthesis,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-94-007-5757-8.pdf
Petroleum Geoscience,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-642-34132-8.pdf
Plate Tectonics,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-540-76504-2.pdf
The Sea Floor,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-51412-3.pdf
An Introduction to Soil Mechanics,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-61185-3.pdf
Sustainability Science,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-94-017-7242-6.pdf
Python For ArcGIS,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-18398-5.pdf
ArcGIS for Environmental and Water Issues,Earth and Environmental Science,https://link.springer.com/content/pdf/10.1007%2F978-3-319-61158-7.pdf
System Dynamics,Economics and Finance,https://link.springer.com/content/pdf/10.1007%2F978-981-10-2045-2.pdf
Principles of Microeconomics,Economics and Finance,https://link.springer.com/content/pdf/10.1007%2F978-3-319-57589-6.pdf
Time Series Econometrics,Economics and Finance,https://link.springer.com/content/pdf/10.1007%2F978-3-319-32862-1.pdf
Stochastic Processes and Calculus,Economics and Finance,https://link.springer.com/content/pdf/10.1007%2F978-3-319-23428-1.pdf
Economics as Applied Ethics,Economics and Finance,https://link.springer.com/content/pdf/10.1007%2F978-3-319-50319-6.pdf
Grammar for Teachers,Education,https://link.springer.com/content/pdf/10.1007%2F978-3-319-33916-0.pdf
Writing for Publication,Education,https://link.springer.com/content/pdf/10.1007%2F978-3-319-31650-5.pdf
Language Across the Curriculum & CLIL in English as an Additional Language (EAL) Contexts,Education,https://link.springer.com/content/pdf/10.1007%2F978-981-10-1802-2.pdf
The A-Z of the PhD Trajectory,Education,https://link.springer.com/content/pdf/10.1007%2F978-3-319-77425-1.pdf
Conferencing and Presentation English for Young Academics,Education,https://link.springer.com/content/pdf/10.1007%2F978-981-13-2475-8.pdf
Research Methods for Social Justice and Equity in Education,Education,https://link.springer.com/content/pdf/10.1007%2F978-3-030-05900-2.pdf
Educational Technology,Education,https://link.springer.com/content/pdf/10.1007%2F978-981-13-6643-7.pdf
School Leadership and Educational Change in Singapore,Education,https://link.springer.com/content/pdf/10.1007%2F978-3-319-74746-0.pdf
A Course in Rasch Measurement Theory,Education,https://link.springer.com/content/pdf/10.1007%2F978-981-13-7496-8.pdf
Electrical Machines,Energy,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-0400-2.pdf
Energy Storage,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21239-5.pdf
Reactive Power Control in AC Power Systems,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-51118-4.pdf
Energy Economics,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-662-53022-1.pdf
Solar PV and Wind Energy Conversion Systems,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-14941-7.pdf
Air Pollution and Greenhouse Gases,Energy,https://link.springer.com/content/pdf/10.1007%2F978-981-287-212-8.pdf
Energy Harvesting and Energy Efficiency,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-49875-1.pdf
Energy and the Wealth of Nations,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-66219-0.pdf
Building Energy Modeling with OpenStudio,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-77809-9.pdf
Off-Grid Electrical Systems in Developing Countries,Energy,https://link.springer.com/content/pdf/10.1007%2F978-3-319-91890-7.pdf
Fundamentals of Power Electronics,Engineering,https://link.springer.com/content/pdf/10.1007%2Fb100747.pdf
Intuitive Probability and Random Processes using MATLAB®,Engineering,https://link.springer.com/content/pdf/10.1007%2Fb104645.pdf
Fatigue of Structures and Materials,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4020-6808-9.pdf
Fundamentals of Robotic Mechanical Systems,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-01851-5.pdf
Introduction to Logic Circuits & Logic Design with Verilog,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-53883-9.pdf
Structural Analysis,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-90-481-2516-6.pdf
Additive Manufacturing Technologies,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4419-1120-9.pdf
Engineering Electromagnetics,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-07806-9.pdf
Alternative Energy Sources,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20951-2.pdf
"Robotics, Vision and Control",Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-54413-7.pdf
Engineering Mechanics 1,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30319-7.pdf
Thermodynamics and Energy Conversion,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-662-43715-5.pdf
Principles of Mobile Communication,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-55615-4.pdf
Physics of Semiconductor Devices,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-1151-6.pdf
Life Cycle Assessment,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-56475-3.pdf
Additive Manufacturing Technologies,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4939-2113-3.pdf
Robotics,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-84628-642-1.pdf
Fundamentals of Structural Engineering,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-24331-3.pdf
Electronics for Embedded Systems,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-39439-8.pdf
Practical Electrical Engineering,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-21173-2.pdf
The Finite Element Method and Applications in Engineering Using ANSYS®,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4899-7550-8.pdf
Introduction to Embedded Systems,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-1-4614-3143-5.pdf
The Finite Volume Method in Computational Fluid Dynamics,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-16874-6.pdf
Introduction to Logic Circuits & Logic Design with VHDL,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-34195-8.pdf
Statics and Mechanics of Structures,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-94-007-6113-1.pdf
"Robotics, Vision and Control",Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20144-8.pdf
Engineering Mechanics 2,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-662-56272-7.pdf
Fundamentals of Solid State Engineering,Engineering,https://link.springer.com/content/pdf/10.1007%2F978-3-319-75708-7.pdf
